file,sweep,rpm,temperature_c,kappa,viscosity_40c_cst,viscosity_100c_cst
scope_20260424_115654,sweep_1048,2976.8,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1049,2962.8,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_105,772.0,42.0,0.6938,22.0,4.1
scope_20260424_115654,sweep_1050,2976.8,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1051,2962.7,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1052,2963.0,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1053,2977.1,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1054,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1055,2976.9,46.0,1.3035,22.0,4.1
scope_20260424_115654,sweep_1056,2976.8,46.0,1.3035,22.0,4.1
scope_20260424_115654,sweep_1057,2962.8,47.0,1.2534,22.0,4.1
scope_20260424_115654,sweep_1058,2962.8,47.0,1.2534,22.0,4.1
scope_20260424_115654,sweep_1059,2962.7,47.0,1.2533,22.0,4.1
scope_20260424_115654,sweep_106,761.5,42.0,0.686,22.0,4.1
scope_20260424_115654,sweep_1060,2977.1,48.0,1.2116,22.0,4.1
scope_20260424_115654,sweep_1061,2962.5,48.0,1.2086,22.0,4.1
scope_20260424_115654,sweep_1062,2962.7,48.0,1.2086,22.0,4.1
scope_20260424_115654,sweep_1063,2976.6,49.0,1.1688,22.0,4.1
scope_20260424_115654,sweep_1064,2962.7,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_1065,2962.8,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_1066,2962.8,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_1067,2976.9,50.0,1.1283,22.0,4.1
scope_20260424_115654,sweep_1068,2963.0,50.0,1.1257,22.0,4.1
scope_20260424_115654,sweep_1069,2962.7,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_107,751.3,42.0,0.6784,22.0,4.1
scope_20260424_115654,sweep_1070,2962.5,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_1071,2962.5,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_1072,2976.5,50.0,1.1282,22.0,4.1
scope_20260424_115654,sweep_1073,2962.8,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_1074,2976.6,50.0,1.1283,22.0,4.1
scope_20260424_115654,sweep_1075,2976.6,50.0,1.1283,22.0,4.1
scope_20260424_115654,sweep_1076,2976.6,50.0,1.1283,22.0,4.1
scope_20260424_115654,sweep_1077,2962.7,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_1078,2963.1,50.0,1.1257,22.0,4.1
scope_20260424_115654,sweep_1079,2962.8,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_108,742.4,42.0,0.6717,22.0,4.1
scope_20260424_115654,sweep_1080,2962.5,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_1081,2962.8,50.0,1.1256,22.0,4.1
scope_20260424_115654,sweep_1082,2963.0,49.0,1.1662,22.0,4.1
scope_20260424_115654,sweep_1083,2976.9,49.0,1.1689,22.0,4.1
scope_20260424_115654,sweep_1084,2962.4,49.0,1.166,22.0,4.1
scope_20260424_115654,sweep_1085,2962.8,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_1086,2962.7,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_1087,2976.8,49.0,1.1689,22.0,4.1
scope_20260424_115654,sweep_1088,2962.7,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_1089,2962.5,49.0,1.1661,22.0,4.1
scope_20260424_115654,sweep_109,733.6,42.0,0.665,22.0,4.1
