channel,target,feature,band,ftype,mean_abs_shap,frac
US,Temp,US__center_frequency,broadband,spectral,0.07724345896020197,0.00292076026079021
US,Temp,US__spectral_bandwidth,broadband,spectral,0.06535064112425903,0.002471064322886443
US,Temp,US__spectral_skewness,broadband,spectral,0.045363572539328226,0.001715305370110493
US,Temp,US__spectral_kurtosis,broadband,spectral,0.007740927050099467,0.00029270299924367076
US,Temp,US__spectral_flatness,broadband,spectral,0.028828104632645245,0.0010900597091116106
US,Temp,US_0-16kHz__rms,0-16kHz,amplitude,0.0733774387556489,0.002774576773762674
US,Temp,US_0-16kHz__skewness,0-16kHz,shape,0.06874334456008833,0.002599350568808213
US,Temp,US_0-16kHz__kurtosis,0-16kHz,shape,0.02810599364099071,0.001062754962318862
US,Temp,US_0-16kHz__crest_factor,0-16kHz,shape,0.10294609616555495,0.0038926385577678444
US,Temp,US_0-16kHz__shape_factor,0-16kHz,shape,0.08233093138320427,0.0031131297828312556
US,Temp,US_0-16kHz__margin_factor,0-16kHz,shape,0.0627472617893515,0.00237262431246332
US,Temp,US_0-16kHz__mobility,0-16kHz,complexity,0.46407475189198377,0.017547778305222576
US,Temp,US_0-16kHz__complexity,0-16kHz,complexity,1.089428128915544,0.04119388785480192
US,Temp,US_0-16kHz__dominant_frequency,0-16kHz,spectral,0.0,0.0
US,Temp,US_0-16kHz__center_frequency,0-16kHz,spectral,0.0770165836068646,0.0029121815600807823
US,Temp,US_0-16kHz__spectral_bandwidth,0-16kHz,spectral,0.03857850651334613,0.0014587457664586572
US,Temp,US_0-16kHz__spectral_skewness,0-16kHz,spectral,0.02536595409585639,0.0009591475019053482
US,Temp,US_0-16kHz__spectral_kurtosis,0-16kHz,spectral,0.007028659741619539,0.0002657704656974965
US,Temp,US_0-16kHz__spectral_flatness,0-16kHz,spectral,0.03412221997639624,0.0012902428951084273
US,Temp,US_16-40kHz__rms,16-40kHz,amplitude,1.1343023236986205,0.04289068867938564
US,Temp,US_16-40kHz__skewness,16-40kHz,shape,4.141539918054116,0.1566015475480097
US,Temp,US_16-40kHz__kurtosis,16-40kHz,shape,0.20632540389286239,0.007801657882672664
US,Temp,US_16-40kHz__crest_factor,16-40kHz,shape,0.1858438540456863,0.007027201408580177
US,Temp,US_16-40kHz__shape_factor,16-40kHz,shape,1.4108380463713508,0.053347166941027965
US,Temp,US_16-40kHz__margin_factor,16-40kHz,shape,0.11509343043406021,0.00435195837181534
US,Temp,US_16-40kHz__mobility,16-40kHz,complexity,2.929125779666327,0.11075726399711681
US,Temp,US_16-40kHz__complexity,16-40kHz,complexity,3.000372385997962,0.11345126889139298
US,Temp,US_16-40kHz__dominant_frequency,16-40kHz,spectral,4.554871430070432,0.1722306023713002
US,Temp,US_16-40kHz__center_frequency,16-40kHz,spectral,0.08654818136470546,0.0032725941092816456
US,Temp,US_16-40kHz__spectral_bandwidth,16-40kHz,spectral,0.05579615224363285,0.0021097862054852913
US,Temp,US_16-40kHz__spectral_skewness,16-40kHz,spectral,0.04209828230215918,0.0015918369225156825
US,Temp,US_16-40kHz__spectral_kurtosis,16-40kHz,spectral,0.018546717540385123,0.000701295828659975
US,Temp,US_16-40kHz__spectral_flatness,16-40kHz,spectral,0.07597743423451746,0.0028728888324811496
