sensor,band,stat,type,marg_rpm,marg_temp,cond_rpm,cond_temp
AE,500-1000kHz,spectral_kurtosis,spec,0.2665363396602179,-0.0748160663733562,0.2463106687766242,-0.0297645741879124
AE,500-1000kHz,spectral_skewness,spec,0.1773735627347093,-0.0405078215364955,0.1709656425905999,-0.0120907077131302
US,broadband,complexity,cplx,-0.317520726439651,0.3672526863613652,-0.3567296078298897,0.5565846902830647
US,broadband,crest_factor,shape,-0.6120278643635689,-0.0858639065136459,-0.5728103876209742,-0.5258334007910244
US,broadband,dominant_frequency,spec,0.1367372663849709,-0.2861126869324894,0.1159242329287713,-0.400468478072023
US,broadband,kurtosis,shape,-0.7603125840470497,-0.0659992418166872,-0.6998260549485921,-0.5275319389538142
US,broadband,margin_factor,shape,-0.5875469404489334,-0.0654245687182386,-0.5632915005562391,-0.4970499484518528
US,broadband,rms,amp,0.906070338556901,0.0864819858298613,0.909688094556012,0.6232244024646858
US,broadband,shape_factor,shape,-0.4896848240990664,-0.0386549381068188,-0.4933237224312054,-0.4306064575905207
US,broadband,skewness,shape,-0.2159282520062443,0.2317238330269423,-0.1681336705071793,0.1738895153050332
US,0-10kHz,crest_factor,shape,-0.5663583674583458,-0.0963839133156651,-0.5430028959960208,-0.5056376043353231
US,0-10kHz,dominant_frequency,spec,0.1368936927910075,-0.2852635551561449,0.1213864530712259,-0.4016781522386612
US,0-10kHz,kurtosis,shape,-0.7694217958992398,-0.0655433598522908,-0.7252186678350285,-0.5168517142419753
US,0-10kHz,margin_factor,shape,-0.5440453621076576,-0.0754400122756539,-0.5491648810981602,-0.4994383941956692
US,0-10kHz,mobility,cplx,-0.0271769871907877,-0.5930614828343043,-0.1594904353636269,-0.7938524264224355
US,0-10kHz,rms,amp,0.9047559276820244,0.0915797868822674,0.9103424121139458,0.6338606169512548
US,0-10kHz,shape_factor,shape,-0.4721931808825474,-0.0393718709282982,-0.4822387185970887,-0.4066133700648153
US,0-10kHz,skewness,shape,-0.2146056354582844,0.2055636815824834,-0.1846011154489163,0.1390510086099537
US,10-20kHz,center_frequency,spec,0.1804979248719574,-0.0643666879977217,0.1635296898959367,-0.0130504091885614
US,10-20kHz,complexity,cplx,0.0023481042710717,0.5721026225438667,0.0746293356128892,0.6090788505443745
US,10-20kHz,crest_factor,shape,-0.5427678709943382,0.0095516441977602,-0.4234232924444778,-0.036722960313359
US,10-20kHz,kurtosis,shape,-0.4558484052330345,-0.0281486820458125,-0.3744155530165688,-0.1309137549548639
US,10-20kHz,margin_factor,shape,-0.4995721464242639,-0.0025847208687708,-0.3896564374288038,-0.0914650742790272
US,10-20kHz,mobility,cplx,-0.2412177279940248,0.7019062464966168,-0.0964667507510208,0.7794299058887741
US,10-20kHz,rms,amp,0.8799405952359605,-0.0425496749916737,0.8530811675268958,0.0846351299188693
US,10-20kHz,shape_factor,shape,-0.3322522269050202,-0.0151632563814917,-0.2662074071876451,-0.1504192362292087
US,10-20kHz,spectral_bandwidth,spec,0.1859769001031384,-0.0706598253000977,0.1661628300728874,-0.018828888797419
US,10-20kHz,spectral_flatness,spec,0.1832096366665019,-0.0703356434184895,0.164956609978477,-0.0192341156395104
US,20-100kHz,center_frequency,spec,0.1467316477904459,-0.1331569410276115,0.112373279126692,-0.0694908491225379
US,20-100kHz,complexity,cplx,-0.7461115315614486,-0.1975908772538847,-0.7247694212303925,-0.5198848079368172
US,20-100kHz,crest_factor,shape,-0.521838109014614,-0.1918100863906223,-0.4070258052780203,-0.4883514675896101
US,20-100kHz,dominant_frequency,spec,-0.2289201835725199,0.0404977062948809,-0.2683890506585176,0.1394828130914716
US,20-100kHz,mobility,cplx,-0.6213364577807183,-0.1881937504380226,-0.6861049522776396,-0.4071294341924292
US,20-100kHz,rms,amp,0.833369897755332,0.2057774747842483,0.8609003269498527,0.6592659760060633
US,20-100kHz,spectral_bandwidth,spec,0.2600774962367133,-0.1179909128165569,0.2265457656143735,-0.0718732015669373
US,20-100kHz,spectral_flatness,spec,0.2443006753653378,-0.1204994385580047,0.211131246296413,-0.0750984881629669
US,20-100kHz,spectral_skewness,spec,-0.2554063096165957,0.1186596595372195,-0.2206862426811743,0.0722507702460751
