channel,target,feature,band,ftype,mean_abs_shap,frac
US,Temp,US_0-10kHz__kurtosis,0-10kHz,shape,0.13820515811647255,0.0053977388858079175
US,Temp,US_0-10kHz__margin_factor,0-10kHz,shape,0.09551955487743194,0.0037306105122535587
US,Temp,US_0-10kHz__mobility,0-10kHz,complexity,4.364831711616155,0.1704728114412535
US,Temp,US_0-10kHz__rms,0-10kHz,amplitude,0.5264354696174837,0.020560456960861874
US,Temp,US_0-10kHz__shape_factor,0-10kHz,shape,0.7903248056841456,0.03086691549142291
US,Temp,US_0-10kHz__skewness,0-10kHz,shape,0.21276584017400924,0.0083097799295666
US,Temp,US_10-20kHz__center_frequency,10-20kHz,spectral,0.11401749241608301,0.004453065723914159
US,Temp,US_10-20kHz__complexity,10-20kHz,complexity,0.4266248473035627,0.016662254573751947
US,Temp,US_10-20kHz__crest_factor,10-20kHz,shape,0.2501569915064785,0.009770128257248462
US,Temp,US_10-20kHz__kurtosis,10-20kHz,shape,0.12151294960017689,0.0047458082037237425
US,Temp,US_10-20kHz__margin_factor,10-20kHz,shape,0.5228349867809515,0.020419836549299124
US,Temp,US_10-20kHz__mobility,10-20kHz,complexity,7.367013574509268,0.287725987838249
US,Temp,US_10-20kHz__rms,10-20kHz,amplitude,0.5029865889534524,0.019644637777888666
US,Temp,US_10-20kHz__shape_factor,10-20kHz,shape,1.2593332460054283,0.049184503131392276
US,Temp,US_10-20kHz__spectral_bandwidth,10-20kHz,spectral,0.06061748159395516,0.002367475584982809
US,Temp,US_10-20kHz__spectral_flatness,10-20kHz,spectral,0.06817726749711803,0.002662730486420682
US,Temp,US_20-100kHz__center_frequency,20-100kHz,spectral,0.0752666417460795,0.0029396129963152507
US,Temp,US_20-100kHz__complexity,20-100kHz,complexity,1.0535179293578356,0.041146182759678386
US,Temp,US_20-100kHz__crest_factor,20-100kHz,shape,0.5196050707385833,0.020293688989704472
US,Temp,US_20-100kHz__dominant_frequency,20-100kHz,spectral,2.245276404245301,0.08769148649551985
US,Temp,US_20-100kHz__mobility,20-100kHz,complexity,0.5573938510554848,0.02176956710991105
US,Temp,US_20-100kHz__rms,20-100kHz,amplitude,0.3690770603687832,0.014414668944073302
US,Temp,US_20-100kHz__spectral_bandwidth,20-100kHz,spectral,0.052698070058062305,0.0020581751494377068
