,AE_1000-2000kHz__complexity,AE_500-1000kHz__normalized_frequency_std,shape_factor,AE_500-1000kHz__dominant_frequency,AE_500-1000kHz__peak,AE_1000-2000kHz__complexity^2,AE_1000-2000kHz__complexity AE_500-1000kHz__normalized_frequency_std,AE_1000-2000kHz__complexity shape_factor,AE_1000-2000kHz__complexity AE_500-1000kHz__dominant_frequency,AE_1000-2000kHz__complexity AE_500-1000kHz__peak,AE_500-1000kHz__normalized_frequency_std^2,AE_500-1000kHz__normalized_frequency_std shape_factor,AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__dominant_frequency,AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__peak,shape_factor^2,shape_factor AE_500-1000kHz__dominant_frequency,shape_factor AE_500-1000kHz__peak,AE_500-1000kHz__dominant_frequency^2,AE_500-1000kHz__dominant_frequency AE_500-1000kHz__peak,AE_500-1000kHz__peak^2
10,0.12501610100251256,0.03748728941977932,0.01715079893075705,-0.08832202985299624,0.0068073633316472005,-0.23119248589341482,-0.06213406243149872,-0.11323349477215124,0.19807049587817788,-0.0029466324268638626,-0.002826139520720407,0.18335217322495548,0.006485604825866094,-0.007587084839940807,0.0073112997426327195,-0.0799034268486872,-0.011042968542844374,-0.03570567277323376,0.049305150487610375,0.018738239384356474
11,-0.9350245117963077,0.021435944663601176,0.015354128213877346,-0.08201806187833457,0.0009786464370090176,0.6335444794802608,-0.21000206268477883,0.12215218085224565,0.6366975650109379,-0.0011770035873470983,-0.009531742685400533,0.13199431804862247,0.011697654277718473,-0.0031079141886632567,0.00247335841955388,-0.07260491457742113,0.004574147287996272,-0.03938515219074274,0.024833737700863303,-0.08850781751073798
12,-0.9548679271470095,-0.018077909530893114,0.015610261321352958,0.17953930027035525,0.0035684037388045596,0.6729162920833214,-0.03015029418593185,0.13012890286146006,-0.40970607452028757,0.0010950166504727977,-0.012437614809854324,0.03629177305205298,0.012013778679025934,-0.0018461228289663872,0.003127833272057991,0.02883814972933091,-0.0016241314358328403,0.017946802116138857,-0.0032093059518493623,-0.06090005301071162
13,-0.8289513511050169,0.0007480940018413062,0.01570728174678227,-0.060469953164945564,0.001272302692381677,0.43753284008820403,-0.11391031183187188,0.10336956630285776,0.5181519591547673,-0.0010493274100220028,-0.013465851341670191,0.08250271462122884,0.01773613576511246,-0.0027977023648662292,0.003378799604328743,-0.06503672768228655,0.0038166726789661282,-0.05016339992487763,0.024882226608637835,-0.0869884342771293
14,-0.9601483156661917,0.005681879767785213,0.014998047901759126,-0.07915262188985198,0.005636317944313149,0.6835367754098006,-0.140083729377198,0.12252826820930891,0.6353753393381503,0.0029230329718896177,-0.01300912665107077,0.09347700248641283,0.016138552075016473,-0.0036548852621485868,0.001582956004103418,-0.07062706338370665,-0.005977985338273896,-0.0409788895774182,0.04231672432524307,-0.01584124262825732
15,-0.9274062972329047,-0.0132182029835504,0.012128376730686981,0.047729060800156625,-0.006922454967623326,0.6186553415090482,-0.053807681886091106,0.07589018270320375,0.12596558088125206,-0.007858396772973938,-0.013123500351953981,0.05349367462616665,0.01786892631778191,-0.003773282747035531,-0.004766560068353299,-0.02595635593596401,0.019330764949864705,-0.06220578244170211,0.031422127775400724,0.025320911387412125
16,-0.959340678491327,-0.001670237136920843,0.015798188134949778,-0.0835080906723455,0.005124249704365872,0.6819084606173391,-0.10594357640810025,0.13381249167772738,0.6526993530925753,0.0024708448126829984,-0.013579574465518348,0.07657726358787807,0.018077101153021788,-0.0029188836061906005,0.0036154754633476688,-0.07432492490901838,-0.005481409778395478,-0.03853695669503275,0.04129763899660865,-0.028902600590643302
17,-0.8250883663153032,-0.004654305861934699,0.016646319865940236,0.12005276610945692,0.005805157779525492,0.4308539440396706,-0.09236894692554208,0.11401272471855496,-0.10898188730002428,0.002339848252311233,-0.013620033391158234,0.06911314289741201,0.018677823099590662,-0.0026512750810910343,0.005894687429338283,0.00863886074878747,-0.00792660685098343,-0.03112182058106213,-0.004512809794792973,-0.011259935792946258
18,-0.6090892219250834,-0.002582742660912459,0.016404732446766702,-0.07903800429031269,0.005866103295895563,0.10878408837690214,-0.098791545023688,0.060461725851985844,0.49558876111844263,0.0012040199111431587,-0.013603656733443681,0.07448455678025848,0.018355441051327546,-0.0028600169812090363,0.0052323817992052536,-0.07405313170926466,-0.007850264352615838,-0.041041615280535806,0.04315711467550926,-0.009572775366074244
19,-0.5491960266352222,0.030386582748352858,0.016907293567071772,-0.06723239153776445,0.005506107116471037,0.037357145067778846,-0.18386621691121458,0.050460326357120666,0.4450548463420213,0.000700189543323352,-0.006186247861356406,0.16266624263767973,0.010725791337064361,-0.005972636206699991,0.00662184725812289,-0.07027041277991819,-0.007399196728437095,-0.047080560253693234,0.039131882960274825,-0.019281345325566794
