,spectral_mean,kurtosis,dominant_frequency,crest_factor,skewness,spectral_mean^2,spectral_mean kurtosis,spectral_mean dominant_frequency,spectral_mean crest_factor,spectral_mean skewness,kurtosis^2,kurtosis dominant_frequency,kurtosis crest_factor,kurtosis skewness,dominant_frequency^2,dominant_frequency crest_factor,dominant_frequency skewness,crest_factor^2,crest_factor skewness,skewness^2
956,-0.15498272848664318,0.04081816986507284,0.02183858841039525,0.17050068264512014,-0.030837346784761653,0.02535457149709203,-0.1750385999844329,0.0025877065563664663,0.15601840197350544,-0.0033604544530761713,0.012209972850686382,-0.00026538426702082377,-0.040265262694618324,3.761503822609247e-05,-0.006023254104791683,-0.0026726347131658633,0.0005038870496014362,0.003257748341399872,0.00019695553614871173,-0.002365450333476425
957,-0.29024700843601725,-0.11234662464390775,0.008950241151801335,0.2927838763431412,0.10667322596300902,0.006623845843894333,-0.08399218556951286,0.0026102443351672887,0.007258674824165789,-0.07395424359614701,0.010734321195147677,0.0004109498222326944,-0.02991894152331734,-0.0006123160643655125,-0.016279289502378485,-0.0012349099466918323,-0.000472333066668696,0.002186763396335706,-0.005572884876231184,-3.733375275483991e-05
958,-0.18030321414540942,-0.05912338767256286,0.007518202567513122,0.2061978137435805,0.033810674827017516,0.022838855091179243,-0.14050368669798036,0.001986939383765824,0.1295946150722574,-0.023463562538727337,0.011584321737019758,0.00012690936420444452,-0.03532051576127594,-9.237453333188567e-05,-0.016988657875402012,0.0007008678302194074,-3.4033404785458297e-05,0.002996773699748004,-0.0018179218669963308,-0.002359422438856219
959,-0.1904198951491591,0.036319484154287644,0.008950241151801335,0.22673876477976987,0.006732676504203387,0.021706149131206453,-0.17342733085763937,0.002121674838374859,0.11520695692445483,-0.014407653557873422,0.012209031261078218,-0.00024288925821586962,-0.0400301834291771,3.753339798989654e-05,-0.016279289502378485,-0.00010980385587714809,9.965402128880692e-05,0.0028272920211076307,-0.0009215055726759929,-0.0025970316675282172
960,-0.26765136112857824,-0.3328558344102019,0.02040654982610704,0.5720439609299723,0.14067926389038232,0.010658629295855515,0.028202218414099946,0.0035725256037671656,-0.14247522973828353,-0.08679246243633862,0.003385960190495524,0.0028818081709850152,0.0068125833033915615,-0.0020662481033404847,-0.007506966485890225,-0.015379732634466129,-0.0013968020438462326,-0.0021335896165999768,-0.012683649367588104,0.001886212050419795
961,-0.3131331479736867,0.03305144761122045,0.007518202567513122,0.24979514301821742,-0.04774486155799892,0.002166818239732877,-0.17022375562579928,0.002562689653846262,0.01946950435022293,0.018678508612998475,0.012206738092134998,-0.0002321213714564938,-0.03981968740367002,5.261653894949068e-05,-0.016988657875402012,4.309937622466745e-05,0.0003793550074464202,0.002620252191010851,0.0012344993657605326,-0.0020483877199360067
962,-0.13233951058582608,-0.46833878104559734,0.00608616398322491,0.747147488873176,0.1307602815482068,0.027217850261621084,-0.05436559951630885,0.001720661842407098,0.016363440726298063,-0.04250252347273356,-0.004186672390786275,0.0014650766563874499,0.04254498004450445,-0.0026264045566067144,-0.017611988025306086,-0.005946081584226629,-0.00044071258066970243,-0.006172558344199452,-0.015062243445583632,0.0012699366225801215
963,-0.32877114563098997,-0.37911660593105995,0.008950241151801335,0.6700357877398795,0.18387426510142077,-0.001093008466616767,0.11160084038610618,0.002798787484458055,-0.3089620139261532,-0.1346751507042368,0.0010619516254549092,0.0015842141301916951,0.021250680295218434,-0.0030602679164429716,-0.016279289502378485,-0.007661553997049551,-0.0009141757201581566,-0.004267569611011348,-0.01893917963130541,0.005100118434015303
964,-0.38132089372899364,0.08760355006787916,0.007518202567513122,0.12308315568939958,-0.03993209003709177,-0.013322279488625941,-0.21289217776293912,0.002858248884384978,0.08393300765638548,0.01997636447031421,0.012067652060373232,-0.0004446075822163505,-0.04176201042544549,-4.0646314408301975e-05,-0.016988657875402012,0.0019548483157718773,0.00033975365899950333,0.003538526417598522,0.0001787193013765668,-0.002211318326844702
965,-0.31432790897224594,0.016918550389638465,0.01038227973608955,0.08692277337072343,0.053841924468718716,0.0019239038150210895,-0.15971250630527084,0.0028883317174453094,0.13574655403988223,-0.04593355361290188,0.012175574619457348,-0.00014584442878075348,-0.03966810769245185,-1.116789843458349e-05,-0.015483882906235515,0.0020436271386528237,-0.00020436243704459868,0.0037021250831579806,-0.0015998145295654483,-0.0019655863428023643
