sensor,band,stat,type,marg_rpm,marg_temp,cond_rpm,cond_temp
US,16-40kHz,complexity,cplx,-0.1493576494947451,-0.5460803051566598,-0.3492092913564569,-0.5521026474149715
US,0-16kHz,crest_factor,shape,-0.8311976018300012,-0.3693785545107844,-0.9292297454773518,-0.7077985836843557
US,16-40kHz,crest_factor,shape,-0.650385133420129,-0.4134963264885668,-0.7862525915550674,-0.6510519875544024
US,0-16kHz,dominant_frequency,spec,0.0236803064683095,-0.0243086046655041,0.1697193258086845,-0.1308973680797605
US,16-40kHz,dominant_frequency,spec,-0.0655758673861712,0.1152117971392878,-0.137798825807485,0.1210763049451532
US,0-16kHz,kurtosis,shape,-0.8683866372706616,-0.3454685462276986,-0.948838962428004,-0.7596424294105869
US,16-40kHz,kurtosis,shape,-0.6874823279192083,-0.2019537629741083,-0.8536555514762088,-0.4944448657388804
US,0-16kHz,margin_factor,shape,-0.8598662885026678,-0.3449017614659357,-0.9420633408340138,-0.7226875466161398
US,16-40kHz,margin_factor,shape,-0.6970060735283926,-0.2759442030566151,-0.8126489700432048,-0.598423070548095
US,0-16kHz,mobility,cplx,0.5113463051228042,-0.3568291511453917,0.6059012551771243,-0.6300255181869929
US,16-40kHz,mobility,cplx,-0.6847556383466192,-0.4747348217134586,-0.9015384788666796,-0.8657482483525171
US,0-16kHz,rms,amp,0.8381619537317555,0.3169892045134641,0.922785074265528,0.6038286691093908
US,16-40kHz,rms,amp,0.6221192492424403,0.6505244565234372,0.8884460148789888,0.8696458264906819
US,0-16kHz,shape_factor,shape,-0.8985473541380121,-0.285189475806798,-0.9516755034978164,-0.7436190043577041
US,16-40kHz,shape_factor,shape,-0.560796592763023,0.3417976185440738,-0.8175809584462415,0.282047537071509
US,0-16kHz,skewness,shape,-0.3847437575476361,-0.4103840895145745,-0.4353823395250874,-0.5917580254391066
US,16-40kHz,skewness,shape,0.0979295110509796,-0.6496209024094536,0.1082742883645701,-0.7314863567844244
US,0-16kHz,spectral_bandwidth,spec,0.0840391291613251,0.0379793490748341,0.099092436807495,-0.0078272494635778
US,16-40kHz,spectral_bandwidth,spec,0.1169674566940893,-0.181798569947081,0.141972937862843,-0.1896421142379572
US,0-16kHz,spectral_flatness,spec,0.0843577150771024,0.0388270984309836,0.0993301581237112,-0.0065107270531466
US,16-40kHz,spectral_flatness,spec,0.1131915034204515,-0.1913911074567203,0.1369251159676789,-0.1958822300629722
US,0-16kHz,spectral_kurtosis,spec,-0.0841435073535507,-0.0380128879718822,-0.0990567111867838,0.0078272494635778
US,16-40kHz,spectral_kurtosis,spec,-0.1140748481645959,0.1896906040437783,-0.1352333937677245,0.1983312297066702
US,0-16kHz,spectral_skewness,spec,-0.0841123124253126,-0.0380608533357305,-0.0990465511563688,0.0072768157568765
US,16-40kHz,spectral_skewness,spec,-0.1119098183279978,0.1964086932557139,-0.1333376376081357,0.201134579470047
