,AE_20-500kHz__rms,AE_20-500kHz__skewness,AE_20-500kHz__spectral_skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__skewness,AE_500-1000kHz__spectral_kurtosis,AE__margin_factor,AE__shape_factor,AE__spectral_skewness,US_0-10kHz__dominant_frequency,US_0-10kHz__kurtosis,US_0-10kHz__mobility,US_10-20kHz__complexity,US_10-20kHz__crest_factor,US_10-20kHz__mobility,US_10-20kHz__spectral_bandwidth,US_20-100kHz__complexity,US_20-100kHz__spectral_bandwidth,US_20-100kHz__spectral_skewness,US__complexity,US__skewness
12,0.03701659571299444,0.017707694386135828,0.000974274561395621,0.0051569541170073,-0.0031918066928600867,0.019143082189125936,0.0022101761368361617,0.0007501894168096984,0.0007533838306540894,0.0017735999734125245,-0.0011977832248246134,0.009901205505397212,-0.0437743306982127,0.12403757508305864,0.0015828289027461848,-0.0037997287698727095,0.058767444696157585,-0.002149888999483622,0.023079502249444807,-0.0002696679519388946,-0.0010301465994962317,0.0011203294253606506,-0.0034293036926558353
13,-0.011398868769258571,-0.008337441371428111,0.0014895121564913647,0.027021734932677195,-0.04504586217820293,0.014621143667549078,-0.0014208101344869418,0.0017875878491991487,0.003412772017860152,-0.010361353055803059,0.000609286047021425,-0.00025730290347731255,-0.013745622572562698,0.09982478628579118,-0.0012034895591116306,-0.0007116928125928606,0.07840028859069395,0.0007145935019096402,0.01814223997890151,0.0002158366578953538,-0.004191135715249243,4.646907427741932e-05,-0.0030949888483311474
14,-0.0377162920814593,-0.0011317686605096479,-0.0031832656800526824,-0.030015134111268053,-0.11764046590647984,-0.004847068410824728,-0.0032015069419660566,0.005864157746746955,-0.004851351694904017,-0.010882971742180383,0.0013245125858366807,0.014180666841077086,-0.007173984740150304,0.06642992197494484,0.0030284886563978286,-0.0006773490857569984,-0.050712165014050715,-0.00027858392392907024,0.013828183972369908,-0.0002956245999594372,-0.0010245232057836179,-0.0009434339904230377,-0.002475894894021992
15,-0.039044028596822315,-0.0010271690681399953,-0.002038725146532422,-0.012464403109066245,-0.02352104888578485,0.024689589859596538,-0.00018760644174013215,0.0017884981010358647,0.0019250461347032743,-0.023536886121490453,0.0005914768210308314,0.012817053138604848,-0.011001995686108695,0.11968603066893112,-0.004867416458239368,0.0024859205552275622,0.06392605789381901,0.0007600622481263373,0.01599557413669582,-0.0003771441812468138,0.0004991338060878226,0.0022208969343361713,0.015390167559000443
16,-0.032849875088440415,-0.0020023508335542304,0.001642001683652981,-0.027207437493038764,-0.10497379490296822,0.005010966653572887,0.003658384250467969,-0.0004965711123196703,-0.006317704936122184,-0.01625434943982504,-0.0005196680641292934,0.014190053173778342,8.913464300929962e-05,0.12174679353929584,-0.0036493411457264417,-0.002789627027772509,0.03691197584188662,0.0006886339127103968,0.011903087438017164,-0.0005336146038154315,-0.00010165400703027876,0.001655911199283415,-0.0007895203757818063
17,-0.03736455766072359,-0.0004001223473526734,-0.00011163781487578144,-0.028469708613323638,-0.1320337560493793,0.0007885580524668346,-0.004383680227469102,-0.003518570130481962,-0.007568256009787447,-0.009418511257767492,-0.007464200649805702,0.01515732610807238,0.02285653705007287,0.045824313885435085,-0.00021757589643343659,-0.007104736466429007,-0.022676669091390347,-0.0031959244492233275,0.0170358961897354,0.0023809694409350816,0.00029255542708118645,0.003245255190471934,0.019409518572262845
18,-0.05847160295247949,0.00018202182971132892,-0.0013731576009792272,-0.020871997546312474,-0.10778964119362497,-0.0010060599968607293,0.005889954721163528,0.001424518723941708,-0.005543067120087667,-0.014147721518621684,-0.000182143245163534,0.011853606932480438,-0.007966552095050147,0.10468474288471813,0.0013126703169652105,-0.001243690641030418,0.05117742551830911,0.0011603735750224094,0.012389599504393731,-0.0013515544656193981,0.0001417254435964166,-0.002413140506997832,0.0012415692500470945
19,0.03727265859159873,0.013991948912916058,-0.00421441955719423,-0.03895401006507443,0.5217123434059223,0.016372053165178566,-0.006919159374326404,-0.0016229850924778407,0.0027685673837078316,0.00011610840198694028,-5.6984321424649885e-05,0.003276251809305021,-0.04963792755566444,0.08425865910662729,0.0028005738639079155,0.0028804338725069013,0.05741985836838766,0.0021121665262131472,0.02367935651629614,0.0011154091517142218,-9.151911466247005e-06,-0.005495761962571815,0.0001630922192428881
20,0.038893091334801906,0.018252587598528533,-0.0006687792048747326,-0.007423229380934293,0.5539574986996043,0.017439830386935827,-0.003830488935836965,-0.000657539716300692,0.0025282140858913713,0.0066360078628260695,0.0006969092992988874,0.004984995047131315,-0.050052729680501264,0.06898326470169891,0.0011483588776772336,0.006967640875948476,0.06371957219536097,0.003961710882461888,0.02760719768076409,0.00434475235329552,0.0008392622630995724,-0.000933708300169083,-0.0003400838463495975
21,0.03399317923677307,0.019995555920213712,-0.00035505171487328985,-0.024366210730285907,0.4959812917653901,0.0226579670067949,-0.008025049273800714,-0.0011325749550874585,-0.015522474652926303,0.0008944128128374705,-0.0011450929223715332,-0.0014571031397475084,-0.04134043058535912,0.07602960653274643,0.004595129166829159,-0.000798040567193793,0.05629052043045296,0.004929408988401191,0.020343933848084875,0.0022875869058094924,-0.00037820527883270893,0.0007739605379630086,-0.0014459794027220883
22,0.04296209835840712,0.01927527595235567,0.005203320472941337,-0.03133624456817723,0.4198421717143467,0.016930759979233292,-0.007833061698830327,-0.000540016986466098,0.0066937708888793745,0.0023951831197899652,0.003845648088167052,0.006465282086986913,-0.019183134604668268,-0.05473948840574057,-0.0022285429326293097,0.006737582410037411,0.046794786550621345,0.0028845946826004574,0.10051641097749885,-0.0012910947981746488,-5.8057180269921146e-05,-0.003448452796560447,0.015999097097923198
23,0.03510957494551799,-0.00594488857592045,-0.00033639612975795247,-0.008355761563079777,0.29944720374987954,0.011021639529512083,0.0006982906428799416,0.0005779214694983567,0.0005955273360229566,-0.002044340379866596,0.0020875115392015456,0.0018686254423499425,-0.07762392777715173,0.11539013299369212,-0.0015399566325423686,0.00494747925857718,0.04872836316136866,-0.005396981063975911,0.010149036147277406,-0.001960760744095097,-0.0015338486799573294,0.0006455370610382671,-0.0007089702727097037
