,AE_20-500kHz__rms,AE_20-500kHz__skewness,AE_20-500kHz__spectral_skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__skewness,AE_500-1000kHz__spectral_kurtosis,margin_factor,shape_factor,spectral_skewness
17,0.04843227962392516,-0.000734279894066353,-0.0019917911011494826,-0.03571569330880523,-0.14209801568456645,-0.016698512046710485,-0.012993592148773513,-0.0025393374039228865,-0.026342651177607142,0.014627250442973116,0.004385058010972506
18,0.04716771757174334,-5.807548807873753e-05,-0.003150138386304041,-0.03027529310515953,-0.13622111113523935,-0.015079106062936476,0.005473327626865135,0.002356705307278332,-0.023954968666806117,0.03507535414883654,0.0011433561593977707
19,0.07208438551023824,0.014899649806321219,-0.002663343368635625,-0.07311122663008676,0.698818025275451,0.0029736730027846037,-0.032934730825044695,-0.001055770335591079,-0.0011597862386735225,-0.03109320069700245,0.002782090485071376
20,0.051013234572684106,0.04505405953701781,0.0015514296704611408,-0.015714777714475277,0.774374245916578,0.0037316053603897374,-0.01713179878815637,0.0056074551024847714,0.004331584393238215,-0.007393866534399735,0.00307940635783071
21,0.0630731312112854,0.04157785051609424,-0.0006844221692692476,-0.028522910074748782,0.6972130709966006,-0.016657619214091396,-0.020221650965505582,-0.005466691042324857,-0.01421305497239216,-0.02762493153028463,0.004398655782404082
22,0.11147830993346643,0.027396546672007034,0.0028420653625815815,-0.07987617477443998,0.530748573290203,0.018710358702769925,-0.02319072437479969,0.0015325659678689526,0.009748534516420073,-0.00959538328676607,0.004732691253681745
23,0.16413477171533894,-0.0052254881070630255,0.0026371745823573194,-0.017933731071895907,0.48901640838103944,0.033394051670027895,0.004934697651496584,0.0029607444840457123,0.04026183659646096,-0.041592090159239765,0.012524773278017555
24,0.08351655535701201,0.04881538775772757,0.007989561441937616,-0.034650277430993706,0.5394755322484367,0.02784867307892605,-0.001257668406474091,-0.002059562926614879,0.01647632192622965,0.026762963354534035,-0.003257884351068199
25,0.05526103883655946,0.04571719389737533,0.0008416512957433777,-0.04212866933164553,0.7915932603701098,-0.0006130729044393574,-0.027082684080537545,0.00013219010248735524,-0.015526728629168407,-0.02200221900247222,0.0020992736322631104
26,0.059248128571271375,0.0591658324759368,0.0007264718673876773,-0.05956455275740351,0.7068041122364009,-0.0024173600586090108,-0.027872392071211206,-0.019393678085374615,-0.016180388395609254,-0.029304449172616646,0.003917693672834316
