,AE_500-1000kHz__mobility,shape_factor,AE_500-1000kHz__crest_factor,AE_500-1000kHz__rms,margin_factor,AE_500-1000kHz__mobility^2,AE_500-1000kHz__mobility shape_factor,AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility AE_500-1000kHz__rms,AE_500-1000kHz__mobility margin_factor,shape_factor^2,shape_factor AE_500-1000kHz__crest_factor,shape_factor AE_500-1000kHz__rms,shape_factor margin_factor,AE_500-1000kHz__crest_factor^2,AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,AE_500-1000kHz__crest_factor margin_factor,AE_500-1000kHz__rms^2,AE_500-1000kHz__rms margin_factor,margin_factor^2
40,0.4838571395288806,-0.33120153045847145,-0.04437567842945107,0.16639323569966993,0.4532679944621278,-0.035043429128605835,0.16422358273566673,-0.03581097504887136,-0.0034982078789267887,-0.15754894955854068,0.05471277627967607,-0.005646730595658956,-0.06871655777925176,0.17990371478898046,-0.10859744474043159,-0.015680215430314504,0.0377890001993411,0.04578183015636113,0.07714958079158787,-0.26574277990742357
41,0.4899724394626134,-0.15286479878221504,-0.04161805380054414,0.17574837739836857,0.34166745349504185,-0.033938957866300266,-0.010599039897718291,-0.04148665483935293,-0.004074941751053257,-0.09985469518522812,-0.011420083653416182,0.0016310524847046256,-0.028043536519281403,0.023934181628904434,-0.11528203246368432,-0.015213908908570549,0.017688521470514886,0.05466617419510668,0.05929353233355819,-0.10715002641772285
42,0.48514777853491425,-0.15471023069769776,-0.06525130581445887,0.17087226637635944,0.09685641091736513,-0.034811445884517365,-0.010147235752266963,0.016145618213073663,-0.003744569505854695,0.03349194023516065,-0.010994023888077934,-0.0017480862063564305,-0.027498066887529943,-0.034007746251727124,-0.04267527446661472,-0.031327328742803424,-0.009031606254589637,0.049975669968812066,0.009378604182411971,0.08004865266452221
43,0.47258974663790976,-0.23789683398936726,-0.054444441822184914,0.16497539716723117,0.04716198008440946,-0.0370432970237926,0.06672456411329557,-0.013745745398332275,-0.0032389002396726674,0.06069140612707542,0.013820840194373223,-0.004251490711453081,-0.04597432601946858,-0.04111946575872666,-0.08018038331196559,-0.022386823809319712,-0.021749119765612977,0.044477155017009835,-0.0006206649569294334,0.09109425204737806
44,0.4671565146654674,-0.20909276587502038,-0.05921201030961573,0.14607221937590292,0.22632120643137282,-0.03799138331753673,0.036689058674500764,-0.0037151080088872112,-0.002234138260143913,-0.031987423825710674,0.003986286995362015,-0.0037765064860189345,-0.03378142832592978,0.01634963707385489,-0.06452860476747464,-0.021371621641185532,0.015586619606626304,0.028134204221956435,0.028775324692083753,0.008554193068604606
45,0.44818568760561645,-0.11752432877225015,0.08710457400328384,0.10336620627614103,0.0840013435287968,-0.04121875145065231,-0.05504969443551896,-0.3445621069334916,3.1019161901821955e-05,0.04326861545731459,-0.01853708862600261,0.016367195569382795,-0.007942933865169128,-0.041523834926227673,0.09819645942687857,0.05210094815266513,-0.05282350143595579,-0.00158565655541862,0.0013173106652351967,0.08377813955722893
46,0.45031277522589247,-0.14618213642182296,-0.056352053384780415,0.13105481230925747,0.23960908435554992,-0.040863308575054505,-0.028116756499156695,-0.014897751906766418,-0.0012835328916526688,-0.03476355198735111,-0.01291773391603497,-7.318612334259132e-05,-0.01763559392594211,-0.002832342165560922,-0.0740871537666854,-0.016381148916875417,0.015891605517244244,0.016545123770113527,0.027131130228068533,-0.0022772992302798043
47,0.46871361729025796,-0.12242038485454436,-0.05830378190310306,0.16158278647324303,0.21607675887126065,-0.037720754549389966,-0.04591144244157514,-0.005466281362366317,-0.0030095392259275357,-0.02701713976407249,-0.017669304911599522,0.0009046876137031988,-0.018081610620441627,-0.016151467513683366,-0.06761912595311856,-0.02428843544744362,0.012799137154201187,0.041399995095479356,0.030645436520501567,0.016460867832102086
48,0.4573648367542688,-0.1179113627703794,-0.050234229128769646,0.14954298880962325,0.1450127800342493,-0.03967328278050287,-0.052702622747268495,-0.02738737562459071,-0.0022533167469038916,0.011565807056863305,-0.018469874099003608,0.0019861040502254534,-0.01516706040230365,-0.03047825248573146,-0.09282873669910156,-0.016541978433623858,-0.005512398918973168,0.03098827941638673,0.01561391245928009,0.06066649364726488
49,0.47741020167240017,-0.029744857735202124,-0.052303931897889455,0.14544224541277556,0.2022416373745534,-0.03619327789798051,-0.13452425349877603,-0.017764473901063036,-0.0023551166307436227,-0.021596672268350013,-0.027644128099994326,0.005847031581240612,0.003910464999909764,-0.04777667352965366,-0.08674847850162137,-0.01702083702267389,0.005770674027747491,0.02762323693684697,0.024586056151020153,0.026525271885175415
