sweep,rpm,temp,band,p_total,p_broad,p_line,line_share
sweep_8039,1793.19,91.0,AE_500-1000kHz,5.1756969636132065e-05,3.6549188306491526e-05,2.0289809658824762e-05,0.3920208196397233
sweep_8039,1793.19,91.0,AE_1000-2000kHz,8.35183740833424e-06,4.999856183339291e-06,4.441170761246027e-06,0.5317597247300593
sweep_8024,1737.97,89.0,AE_20-500kHz,0.00010163340370608875,4.9327471159481314e-05,5.690165949846332e-05,0.559871631014306
sweep_8024,1737.97,89.0,AE_500-1000kHz,5.75034618037896e-05,4.503381037482641e-05,1.8628805869606518e-05,0.323959728427669
sweep_8024,1737.97,89.0,AE_1000-2000kHz,6.203687706143256e-06,4.927875225103926e-06,2.1347705168576247e-06,0.34411314978728696
sweep_8313,1920.49,94.0,AE_20-500kHz,0.009103711409383845,0.00533380706573689,0.004360037639373965,0.4789296851918837
sweep_8313,1920.49,94.0,AE_500-1000kHz,7.23316892601923e-05,6.400598930563861e-05,1.7687686675712638e-05,0.24453578862352165
sweep_8313,1920.49,94.0,AE_1000-2000kHz,1.7911323408145087e-06,1.682681468495694e-06,3.336814619345836e-07,0.1862963748300383
sweep_6938,1920.31,89.0,AE_20-500kHz,0.0013855005456479587,0.0006349654070996256,0.0008265837327335054,0.596595746807834
sweep_6938,1920.31,89.0,AE_500-1000kHz,2.3987168335299095e-05,2.1363355111799987e-05,5.430046480186947e-06,0.2263729675918514
sweep_6938,1920.31,89.0,AE_1000-2000kHz,1.0462614573519097e-06,9.825916793645877e-07,1.9896469546609048e-07,0.1901672799547358
sweep_8685,2206.29,87.0,AE_20-500kHz,0.0006184340345720114,0.00034340433549006114,0.00031759810573758616,0.5135521138602609
sweep_8685,2206.29,87.0,AE_500-1000kHz,7.85063768520414e-05,7.084973701448941e-05,1.715859713513545e-05,0.21856310051696487
sweep_8685,2206.29,87.0,AE_1000-2000kHz,2.94801057901276e-06,2.6674101522172377e-06,6.716251244682167e-07,0.22782317310853503
sweep_8673,2246.18,86.0,AE_20-500kHz,0.00021146339471940742,0.00013644735875976486,8.831781876738848e-05,0.4176506240457274
sweep_8673,2246.18,86.0,AE_500-1000kHz,7.0838617523414e-05,6.403557510897487e-05,1.6072023450837712e-05,0.2268822291107741
sweep_8673,2246.18,86.0,AE_1000-2000kHz,2.3328759799852606e-06,2.1746914749575435e-06,4.4826694190086734e-07,0.19215206712518834
sweep_6971,2459.02,88.0,AE_20-500kHz,0.018167858713673372,0.01169993877729429,0.007662055494044896,0.4217368493887687
sweep_6971,2459.02,88.0,AE_500-1000kHz,1.9138246134299847e-05,1.7273324363698904e-05,4.2995455884420486e-06,0.22465724174883192
sweep_6971,2459.02,88.0,AE_1000-2000kHz,9.551175335591336e-07,8.999133701331877e-07,1.7571374852304027e-07,0.1839708123337068
sweep_7650,2459.02,90.0,AE_20-500kHz,0.01295286908377883,0.0075836053473658255,0.006257069134702963,0.4830643384282199
sweep_7650,2459.02,90.0,AE_500-1000kHz,6.816848257272758e-05,6.110540726831208e-05,1.5817581329931195e-05,0.23203657662550634
sweep_7650,2459.02,90.0,AE_1000-2000kHz,1.5418059983597094e-06,1.443025922463957e-06,2.97861481104253e-07,0.19318998721054445
sweep_6985,2647.25,87.0,AE_20-500kHz,0.005856821807439262,0.003563382733289392,0.0026542141068883656,0.4531833465578577
sweep_6985,2647.25,87.0,AE_500-1000kHz,2.1922059565168493e-05,1.953032974348472e-05,5.058477191905969e-06,0.23074826417967037
sweep_6985,2647.25,87.0,AE_1000-2000kHz,9.750163401985256e-07,9.130103899982364e-07,1.837695884072841e-07,0.18847847039144625
sweep_6986,2647.25,87.0,AE_20-500kHz,0.017517661861727856,0.007610101016759848,0.010896867151997511,0.6220503191584438
sweep_6986,2647.25,87.0,AE_500-1000kHz,2.2025731680345276e-05,2.014037089056683e-05,4.630656146035971e-06,0.21023847076863061
sweep_6986,2647.25,87.0,AE_1000-2000kHz,9.826357518067738e-07,9.292222784817926e-07,1.8246815905672234e-07,0.18569257094627167
sweep_8331,2802.82,92.0,AE_20-500kHz,0.01561405238157956,0.008105869480494252,0.008512706364838028,0.5451951970444754
sweep_8331,2802.82,92.0,AE_500-1000kHz,7.760594842171997e-05,7.101297515881229e-05,1.5755009268080655e-05,0.20301290801145883
sweep_8331,2802.82,92.0,AE_1000-2000kHz,1.649231497075317e-06,1.5318149030912875e-06,3.2048307918921273e-07,0.19432267680889248
sweep_6993,2828.05,86.0,AE_20-500kHz,0.015236820058833766,0.008944803013799102,0.007717183282672992,0.5064825372272375
sweep_6993,2828.05,86.0,AE_500-1000kHz,1.7925491693930822e-05,1.5648077756637754e-05,4.366964527775724e-06,0.24361755885637895
sweep_6993,2828.05,86.0,AE_1000-2000kHz,9.728403743496986e-07,9.092085542678046e-07,1.864414624064956e-07,0.19164650987180049
sweep_047,14.53,49.0,AE_20-500kHz,2.0605824195492654e-05,9.394236421436263e-06,1.2385937070221512e-05,0.6010891363875088
sweep_047,14.53,49.0,AE_500-1000kHz,2.817083152115563e-05,1.5066972751066994e-05,1.4575773855554254e-05,0.5174065893159097
sweep_047,14.53,49.0,AE_1000-2000kHz,3.830263082332814e-05,3.06293681863104e-05,1.1872448717954479e-05,0.3099643147938441
sweep_048,14.53,49.0,AE_20-500kHz,2.15113060418661e-05,8.749834911711147e-06,1.4033388100639814e-05,0.6523726673465347
sweep_048,14.53,49.0,AE_500-1000kHz,2.9376148617688907e-05,1.387862890590257e-05,1.7132222988098914e-05,0.5832018080744156
sweep_048,14.53,49.0,AE_1000-2000kHz,3.990152214979387e-05,3.327700332903532e-05,1.1431355433784912e-05,0.28648920687462964
sweep_049,14.53,49.0,AE_20-500kHz,2.2119678947784807e-05,9.99099427780544e-06,1.3538066173464491e-05,0.6120371912007462
sweep_049,14.53,49.0,AE_500-1000kHz,3.05714815675692e-05,1.5106520655506697e-05,1.713499570823407e-05,0.5604895422016837
sweep_049,14.53,49.0,AE_1000-2000kHz,4.6174536784828476e-05,3.910511616340899e-05,1.2093249503259022e-05,0.26190299557552876
